Bubble Sort Start,Bubble Sort End,Merge Sort Start,Merge Sort End,Array size
1709409271617,1709409271619,1709409271619,1709409271620,1000
1709409271620,1709409271621,1709409271621,1709409271622,2000
1709409271622,1709409271626,1709409271626,1709409271626,3000
1709409271626,1709409271632,1709409271632,1709409271633,4000
1709409271633,1709409271644,1709409271644,1709409271644,5000
1709409271644,1709409271665,1709409271665,1709409271665,6000
1709409271665,1709409271692,1709409271692,1709409271692,7000
1709409271692,1709409271734,1709409271734,1709409271735,8000
1709409271735,1709409271802,1709409271802,1709409271803,9000
1709409271803,1709409271874,1709409271874,1709409271875,10000
1709409271875,1709409271967,1709409271968,1709409271969,11000
1709409271969,1709409272082,1709409272082,1709409272083,12000
1709409272083,1709409272226,1709409272226,1709409272227,13000
1709409272227,1709409272389,1709409272389,1709409272390,14000
1709409272391,1709409272582,1709409272582,1709409272584,15000
1709409272584,1709409272804,1709409272804,1709409272805,16000
1709409272806,1709409273062,1709409273062,1709409273063,17000
1709409273063,1709409273351,1709409273351,1709409273352,18000
1709409273353,1709409273675,1709409273675,1709409273677,19000
1709409273677,1709409274039,1709409274039,1709409274042,20000
1709409274042,1709409274906,1709409274906,1709409274908,30000
1709409274909,1709409276497,1709409276497,1709409276501,40000
1709409276502,1709409280199,1709409280199,1709409280204,60000
1709409280205,1709409295195,1709409295195,1709409295205,120000
1709409295207,1709409355882,1709409355882,1709409355910,240000
